iter	Logloss
0	0.6811541053
1	0.6690354023
2	0.6568245125
3	0.6465543181
4	0.6366960501
5	0.627621753
6	0.6170857657
7	0.6086110409
8	0.6003455339
9	0.5923265649
10	0.585475159
11	0.5785749451
12	0.5711674636
13	0.5654587437
14	0.5597441919
15	0.5531827051
16	0.5478797435
17	0.5421364049
18	0.5374732325
19	0.5322833449
20	0.5269085811
21	0.5226704113
22	0.5187718994
23	0.5150569613
24	0.5108001798
25	0.5069567602
26	0.5037405364
27	0.500052097
28	0.4969402576
29	0.4928966031
30	0.4898576013
31	0.4868074564
32	0.4832687791
33	0.4807679289
34	0.4781558741
35	0.4757132396
36	0.4733470828
37	0.4702413909
38	0.4677550641
39	0.4654207081
40	0.4633739592
41	0.4610054209
42	0.4588522362
43	0.4572099391
44	0.4549711052
45	0.4525735765
46	0.4503568096
47	0.4489093764
48	0.4467646216
49	0.4450189688
50	0.4428641671
51	0.4410370575
52	0.4395675449
53	0.4373751037
54	0.4358197639
55	0.4344648384
56	0.4329466211
57	0.4317363866
58	0.4302123885
59	0.4287303097
60	0.4272655971
61	0.4260305672
62	0.4248240603
63	0.4237060021
64	0.4223870018
65	0.4210813758
66	0.4200375733
67	0.4189841444
68	0.4175865567
69	0.4158382593
70	0.4147797527
71	0.4140746754
72	0.4128392748
73	0.4118241496
74	0.4105151855
75	0.4093277101
76	0.4080678987
77	0.4068765098
78	0.4060781723
79	0.4050689587
80	0.4040185193
81	0.4033236174
82	0.4020584561
83	0.4010431445
84	0.4002916332
85	0.3995994602
86	0.3988448796
87	0.3979897997
88	0.3969755505
89	0.3960974463
90	0.3951660427
91	0.3943411028
92	0.3936626662
93	0.3924344151
94	0.3917901994
95	0.3910951694
96	0.3902937823
97	0.3895121641
98	0.3889661403
99	0.3881761178
100	0.3876371249
101	0.3865715818
102	0.3858828037
103	0.3851454065
104	0.3846445894
105	0.3838638603
106	0.3829565913
107	0.3825261068
108	0.3818043571
109	0.3813403338
110	0.3807202523
111	0.3801948079
112	0.3789465651
113	0.378206918
114	0.3773451206
115	0.3767845407
116	0.3762407901
117	0.3756560275
118	0.375079174
119	0.3743625477
120	0.373785205
121	0.3730907547
122	0.3721535589
123	0.3718265548
124	0.3712088571
125	0.3708333041
126	0.3702101182
127	0.3695545647
128	0.3688809855
129	0.3684861554
130	0.3680253358
131	0.3675124885
132	0.3670482082
133	0.3665542495
134	0.3662027759
135	0.3657078595
136	0.3650683102
137	0.3644201459
138	0.3637813168
139	0.3632199752
140	0.3628577428
141	0.3623594482
142	0.3619628819
143	0.3615539545
144	0.361096897
145	0.3608225085
146	0.3603408205
147	0.3597469651
148	0.3593478014
149	0.3587676608
