iter	Passed	Remaining
0	12	12456
1	21	10807
2	33	11118
3	42	10549
4	51	10271
5	60	10099
6	70	9999
7	79	9883
8	88	9760
9	99	9850
10	106	9593
11	115	9491
12	122	9285
13	131	9296
14	139	9156
15	148	9144
16	157	9110
17	167	9158
18	178	9192
19	186	9114
20	195	9126
21	204	9112
22	215	9164
23	227	9238
24	236	9206
25	245	9204
26	254	9178
27	265	9206
28	275	9237
29	283	9157
30	291	9111
31	298	9040
32	308	9036
33	315	8971
34	329	9074
35	346	9280
36	355	9250
37	368	9326
38	379	9347
39	389	9354
40	397	9308
41	410	9362
42	423	9426
43	433	9410
44	443	9421
45	452	9394
46	462	9376
47	472	9373
48	481	9335
49	492	9361
50	512	9541
51	525	9584
52	538	9623
53	551	9666
54	564	9704
55	577	9739
56	590	9762
57	599	9730
58	610	9732
59	620	9719
60	629	9685
61	641	9699
62	650	9672
63	658	9627
64	668	9611
65	675	9557
66	685	9539
67	695	9526
68	704	9506
69	713	9475
70	722	9451
71	729	9399
72	738	9374
73	745	9330
74	754	9303
75	761	9261
76	769	9224
77	775	9170
78	783	9136
79	789	9084
80	798	9055
81	805	9014
82	812	8976
83	819	8939
84	825	8889
85	833	8863
86	840	8817
87	848	8795
88	856	8764
89	864	8739
90	871	8703
91	878	8668
92	885	8638
93	892	8601
94	900	8582
95	907	8545
96	916	8530
97	922	8493
98	930	8470
99	937	8435
100	946	8422
101	954	8400
102	962	8385
103	971	8367
104	979	8347
105	985	8313
106	993	8295
107	1000	8263
108	1007	8238
109	1015	8219
110	1022	8187
111	1031	8176
112	1037	8146
113	1046	8130
114	1052	8102
115	1061	8089
116	1068	8062
117	1077	8050
118	1087	8047
119	1096	8044
120	1106	8038
121	1116	8031
122	1125	8024
123	1133	8007
124	1143	8002
125	1151	7985
126	1162	7992
127	1170	7973
128	1180	7968
129	1188	7950
130	1195	7933
131	1203	7912
132	1211	7898
133	1219	7883
134	1228	7870
135	1235	7849
136	1243	7834
137	1251	7816
138	1260	7807
139	1268	7794
140	1276	7778
141	1284	7761
142	1293	7753
143	1300	7733
144	1308	7717
145	1315	7697
146	1324	7686
147	1332	7670
148	1342	7666
149	1350	7653
150	1359	7641
151	1367	7628
152	1376	7618
153	1385	7608
154	1394	7600
155	1403	7595
156	1411	7580
157	1420	7571
158	1428	7556
159	1437	7546
160	1445	7530
161	1454	7523
162	1461	7506
163	1471	7498
164	1479	7487
165	1489	7482
166	1497	7468
167	1506	7460
168	1513	7443
169	1523	7436
170	1530	7420
171	1539	7410
172	1546	7393
173	1554	7381
174	1561	7362
175	1569	7349
176	1576	7332
177	1586	7324
178	1594	7314
179	1604	7308
180	1613	7301
181	1623	7294
182	1632	7288
183	1641	7280
184	1651	7274
185	1658	7257
186	1667	7248
187	1676	7239
188	1684	7229
189	1695	7228
190	1704	7218
191	1712	7205
192	1719	7189
193	1727	7176
194	1735	7162
195	1742	7148
196	1751	7139
197	1760	7132
198	1769	7123
199	1778	7115
200	1786	7103
201	1796	7098
202	1804	7085
203	1814	7079
204	1823	7070
205	1832	7061
206	1840	7051
207	1849	7042
208	1858	7032
209	1863	7010
210	1870	6995
211	1879	6986
212	1887	6972
213	1895	6962
214	1902	6947
215	1911	6937
216	1920	6930
217	1928	6918
218	1936	6904
219	1944	6893
220	1952	6881
221	1961	6874
222	1969	6863
223	1979	6856
224	1987	6846
225	1996	6836
226	2003	6823
227	2011	6812
228	2019	6798
229	2028	6789
230	2035	6774
231	2043	6764
232	2051	6751
233	2059	6742
234	2067	6730
235	2075	6719
236	2083	6706
237	2091	6695
238	2098	6682
239	2107	6672
240	2114	6660
241	2124	6652
242	2132	6642
243	2141	6633
244	2148	6620
245	2156	6608
246	2163	6595
247	2171	6585
248	2178	6571
249	2186	6560
250	2194	6547
251	2202	6536
252	2209	6523
253	2217	6512
254	2225	6502
255	2234	6492
256	2241	6480
257	2249	6468
258	2256	6456
259	2264	6444
260	2272	6435
261	2281	6427
262	2290	6417
263	2298	6408
264	2307	6400
265	2317	6394
266	2326	6385
267	2334	6376
268	2342	6365
269	2351	6356
270	2359	6345
271	2368	6339
272	2376	6327
273	2385	6319
274	2392	6306
275	2399	6295
276	2406	6281
277	2413	6268
278	2420	6256
279	2427	6241
280	2435	6231
281	2441	6217
282	2449	6206
283	2456	6193
284	2461	6175
285	2468	6162
286	2475	6148
287	2482	6137
288	2489	6123
289	2496	6113
290	2503	6100
291	2510	6087
292	2517	6074
293	2523	6060
294	2532	6051
295	2538	6037
296	2546	6027
297	2552	6013
298	2559	6000
299	2566	5987
300	2572	5973
301	2579	5962
302	2586	5949
303	2593	5937
304	2600	5924
305	2606	5910
306	2613	5899
307	2620	5886
308	2627	5876
309	2635	5865
310	2642	5853
311	2648	5840
312	2655	5828
